x lower_bound
0.000000 6000.000000
1.200000 5999.990000
2.400000 5999.883684
3.600000 5999.656162
4.800000 5999.266190
6.000000 5998.713179
7.200000 5997.965885
8.400000 5997.024231
9.600000 5995.885940
10.800000 5994.529906
12.000000 5992.953228
13.200000 5991.131387
14.400000 5989.044260
15.600000 5986.646570
16.800000 5983.923961
18.000000 5980.848750
19.200000 5977.394433
20.400000 5973.550610
21.600000 5969.315207
22.800000 5964.688118
24.000000 5959.646402
25.200000 5954.190419
26.400000 5948.304844
27.600000 5941.984327
28.800000 5935.214547
30.000000 5927.976099
31.200000 5920.266380
32.400000 5912.050171
33.600000 5903.325477
34.800000 5894.065033
36.000000 5884.237528
37.200000 5873.827090
38.400000 5862.830906
39.600000 5851.211561
40.800000 5838.953848
42.000000 5826.042173
43.200000 5812.469978
44.400000 5798.224498
45.600000 5783.299886
46.800000 5767.700421
48.000000 5751.407856
49.200000 5734.449847
50.400000 5716.804077
51.600000 5698.491882
52.800000 5679.507031
54.000000 5659.871745
55.200000 5639.569775
56.400000 5618.620816
57.600000 5597.036382
58.800000 5574.826277
60.000000 5551.990116
61.200000 5528.539222
62.400000 5504.494394
63.600000 5479.857800
64.800000 5454.636001
66.000000 5428.849181
67.200000 5402.501522
68.400000 5375.606642
69.600000 5348.175889
70.800000 5320.217715
72.000000 5291.746922
73.200000 5262.777808
74.400000 5233.323249
75.600000 5203.391943
76.800000 5172.999785
78.000000 5142.149922
79.200000 5110.866862
80.400000 5079.155064
81.600000 5047.035917
82.800000 5014.510097
84.000000 4981.598812
85.200000 4948.319122
86.400000 4914.671097
87.600000 4880.677287
88.800000 4846.351810
90.000000 4811.703191
91.200000 4776.745342
92.400000 4741.487335
93.600000 4705.950845
94.800000 4670.133974
96.000000 4634.072342
97.200000 4597.755289
98.400000 4561.203068
99.600000 4524.437975
100.800000 4487.460673
102.000000 4450.286632
103.200000 4412.931273
104.400000 4375.408777
105.600000 4337.724785
106.800000 4299.891390
108.000000 4261.917756
109.200000 4223.825864
110.400000 4185.623857
111.600000 4147.317802
112.800000 4108.917819
114.000000 4070.446113
115.200000 4031.905633
116.400000 3993.303797
117.600000 3954.657590
118.800000 3915.979841
120.000000 3877.295177
121.200000 3838.600723
122.400000 3799.931441
123.600000 3761.335024
124.800000 3722.831073
